state,battleground_count,battleground_districts,datawrapper_id
Alabama,0,,
Alaska,0,,
Arizona,2,AZ01 (Toss Up)<br><hr><br>AZ06 (Toss Up),EzKzV
Arkansas,0,,
California,4,CA13 (Lean Dem)<br><hr><br>CA22 (Lean Dem)<br><hr><br>CA45 (Lean Dem)<br><hr><br>CA48 (Lean Dem),oIEef
Colorado,1,CO08 (Toss Up),S1Pe2
Connecticut,0,,
Delaware,0,,
Florida,3,FL22 (Lean Rep)<br><hr><br>FL14 (Toss Up)<br><hr><br>FL25 (Toss Up),a9D72
Georgia,0,,
Hawaii,0,,
Idaho,0,,
Illinois,0,,
Indiana,0,,
Iowa,3,IA02 (Lean Rep)<br><hr><br>IA01 (Toss Up)<br><hr><br>IA03 (Toss Up),rz30j
Kansas,0,,
Kentucky,0,,
Louisiana,0,,
Maine,0,,
Maryland,0,,
Massachusetts,0,,
Michigan,4,MI08 (Lean Dem)<br><hr><br>MI04 (Lean Rep)<br><hr><br>MI07 (Toss Up)<br><hr><br>MI10 (Toss Up),kRHAt
Minnesota,0,,
Mississippi,0,,
Missouri,0,,
Montana,0,,
Nebraska,1,NE02 (Lean Dem),z5ir3
Nevada,1,NV03 (Lean Dem),kdv9H
New Hampshire,1,NH01 (Lean Dem),pvE46
New Jersey,1,NJ07 (Toss Up),voKCg
New Mexico,1,NM02 (Lean Dem),axZ94
New York,4,NY03 (Lean Dem)<br><hr><br>NY04 (Lean Dem)<br><hr><br>NY19 (Lean Dem)<br><hr><br>NY17 (Toss Up),BM4mr
North Carolina,2,NC01 (Lean Rep)<br><hr><br>NC11 (Lean Rep),gGAaE
North Dakota,0,,
Ohio,2,OH01 (Lean Dem)<br><hr><br>OH09 (Toss Up),EsPCz
Oklahoma,0,,
Oregon,0,,
Pennsylvania,4,PA01 (Lean Rep)<br><hr><br>PA07 (Toss Up)<br><hr><br>PA08 (Toss Up)<br><hr><br>PA10 (Toss Up),RD0Pp
Rhode Island,0,,
South Carolina,0,,
South Dakota,0,,
Tennessee,0,,
Texas,4,TX28 (Lean Dem)<br><hr><br>TX15 (Lean Rep)<br><hr><br>TX35 (Lean Rep)<br><hr><br>TX34 (Toss Up),ELVOm
Utah,0,,
Vermont,0,,
Virginia,2,VA01 (Lean Rep)<br><hr><br>VA02 (Toss Up),2Ddiz
Washington,1,WA03 (Lean Dem),SioWC
West Virginia,0,,
Wisconsin,1,WI03 (Toss Up),fkzGa
Wyoming,0,,
