key,state,state_code,state_district,district,geo_id,rating,incumbent_party,is_battleground,is_key_race,other_candidates
2026G-CA-G-H-1,California,CA,CA01,01,0601,Likely Dem,REP,False,False,
2026G-CA-G-H-2,California,CA,CA02,02,0602,Likely Dem,DEM,False,False,
2026G-CA-G-H-3,California,CA,CA03,03,0603,Likely Dem,REP,False,False,
2026G-CA-G-H-4,California,CA,CA04,04,0604,Likely Dem,DEM,False,False,
2026G-CA-G-H-5,California,CA,CA05,05,0605,Likely Rep,REP,False,False,
2026G-CA-G-H-6,California,CA,CA06,06,0606,Likely Dem,DEM,False,False,
2026G-CA-G-H-7,California,CA,CA07,07,0607,Likely Dem,DEM,False,False,
2026G-CA-G-H-8,California,CA,CA08,08,0608,Likely Dem,DEM,False,False,
2026G-CA-G-H-9,California,CA,CA09,09,0609,Likely Dem,DEM,False,False,
2026G-CA-G-H-10,California,CA,CA10,10,0610,Likely Dem,DEM,False,False,
2026G-CA-G-H-11,California,CA,CA11,11,0611,Likely Dem,DEM,False,False,
2026G-CA-G-H-12,California,CA,CA12,12,0612,Likely Dem,DEM,False,False,
2026G-CA-G-H-13,California,CA,CA13,13,0613,Lean Dem,DEM,True,True,
2026G-CA-G-H-14,California,CA,CA14,14,0614,Likely Dem,DEM,False,False,
2026G-CA-G-H-15,California,CA,CA15,15,0615,Likely Dem,DEM,False,False,
2026G-CA-G-H-16,California,CA,CA16,16,0616,Likely Dem,DEM,False,False,
2026G-CA-G-H-17,California,CA,CA17,17,0617,Likely Dem,DEM,False,False,
2026G-CA-G-H-18,California,CA,CA18,18,0618,Likely Dem,DEM,False,False,
2026G-CA-G-H-19,California,CA,CA19,19,0619,Likely Dem,DEM,False,False,
2026G-CA-G-H-20,California,CA,CA20,20,0620,Likely Rep,REP,False,False,
2026G-CA-G-H-21,California,CA,CA21,21,0621,Likely Dem,DEM,False,False,
2026G-CA-G-H-22,California,CA,CA22,22,0622,Lean Dem,REP,True,True,
2026G-CA-G-H-23,California,CA,CA23,23,0623,Likely Rep,REP,False,False,
2026G-CA-G-H-24,California,CA,CA24,24,0624,Likely Dem,DEM,False,False,
2026G-CA-G-H-25,California,CA,CA25,25,0625,Likely Dem,DEM,False,False,
2026G-CA-G-H-26,California,CA,CA26,26,0626,Likely Dem,DEM,False,False,
2026G-CA-G-H-27,California,CA,CA27,27,0627,Likely Dem,DEM,False,False,
2026G-CA-G-H-28,California,CA,CA28,28,0628,Likely Dem,DEM,False,False,
2026G-CA-G-H-29,California,CA,CA29,29,0629,Likely Dem,DEM,False,False,
2026G-CA-G-H-30,California,CA,CA30,30,0630,Likely Dem,DEM,False,False,
2026G-CA-G-H-31,California,CA,CA31,31,0631,Likely Dem,DEM,False,False,
2026G-CA-G-H-32,California,CA,CA32,32,0632,Likely Dem,DEM,False,False,
2026G-CA-G-H-33,California,CA,CA33,33,0633,Likely Dem,DEM,False,False,
2026G-CA-G-H-34,California,CA,CA34,34,0634,Likely Dem,DEM,False,False,
2026G-CA-G-H-35,California,CA,CA35,35,0635,Likely Dem,DEM,False,False,
2026G-CA-G-H-36,California,CA,CA36,36,0636,Likely Dem,DEM,False,False,
2026G-CA-G-H-37,California,CA,CA37,37,0637,Likely Dem,DEM,False,False,
2026G-CA-G-H-38,California,CA,CA38,38,0638,Likely Dem,DEM,False,False,
2026G-CA-G-H-39,California,CA,CA39,39,0639,Likely Dem,DEM,False,False,
2026G-CA-G-H-40,California,CA,CA40,40,0640,Likely Rep,REP,False,False,
2026G-CA-G-H-41,California,CA,CA41,41,0641,Likely Dem,REP,False,False,
2026G-CA-G-H-42,California,CA,CA42,42,0642,Likely Dem,DEM,False,False,
2026G-CA-G-H-43,California,CA,CA43,43,0643,Likely Dem,DEM,False,False,
2026G-CA-G-H-44,California,CA,CA44,44,0644,Likely Dem,DEM,False,False,
2026G-CA-G-H-45,California,CA,CA45,45,0645,Lean Dem,DEM,True,True,
2026G-CA-G-H-46,California,CA,CA46,46,0646,Likely Dem,DEM,False,False,
2026G-CA-G-H-47,California,CA,CA47,47,0647,Likely Dem,DEM,False,False,
2026G-CA-G-H-48,California,CA,CA48,48,0648,Lean Dem,REP,True,True,
2026G-CA-G-H-49,California,CA,CA49,49,0649,Likely Dem,DEM,False,False,
2026G-CA-G-H-50,California,CA,CA50,50,0650,Likely Dem,DEM,False,False,
2026G-CA-G-H-51,California,CA,CA51,51,0651,Likely Dem,DEM,False,False,
2026G-CA-G-H-52,California,CA,CA52,52,0652,Likely Dem,DEM,False,False,
