key,state,state_code,state_district,district,geo_id,rating,incumbent_party,is_battleground,is_key_race,other_candidates
2026G-FL-G-H-1,Florida,FL,FL01,01,1201,Likely Rep,REP,False,False,
2026G-FL-G-H-2,Florida,FL,FL02,02,1202,Likely Rep,REP,False,False,
2026G-FL-G-H-3,Florida,FL,FL03,03,1203,Likely Rep,REP,False,False,
2026G-FL-G-H-4,Florida,FL,FL04,04,1204,Likely Rep,REP,False,False,
2026G-FL-G-H-5,Florida,FL,FL05,05,1205,Likely Rep,REP,False,False,
2026G-FL-G-H-6,Florida,FL,FL06,06,1206,Likely Rep,REP,False,False,
2026G-FL-G-H-7,Florida,FL,FL07,07,1207,Likely Rep,REP,False,False,
2026G-FL-G-H-8,Florida,FL,FL08,08,1208,Likely Rep,REP,False,False,
2026G-FL-G-H-9,Florida,FL,FL09,09,1209,Likely Rep,DEM,False,False,
2026G-FL-G-H-10,Florida,FL,FL10,10,1210,Likely Dem,DEM,False,False,
2026G-FL-G-H-11,Florida,FL,FL11,11,1211,Likely Rep,REP,False,False,
2026G-FL-G-H-12,Florida,FL,FL12,12,1212,Likely Rep,REP,False,False,
2026G-FL-G-H-13,Florida,FL,FL13,13,1213,Likely Rep,REP,False,False,
2026G-FL-G-H-14,Florida,FL,FL14,14,1214,Toss Up,DEM,True,True,
2026G-FL-G-H-15,Florida,FL,FL15,15,1215,Likely Rep,REP,False,False,
2026G-FL-G-H-16,Florida,FL,FL16,16,1216,Likely Rep,REP,False,False,
2026G-FL-G-H-17,Florida,FL,FL17,17,1217,Likely Rep,REP,False,False,
2026G-FL-G-H-18,Florida,FL,FL18,18,1218,Likely Rep,REP,False,False,
2026G-FL-G-H-19,Florida,FL,FL19,19,1219,Likely Rep,REP,False,False,
2026G-FL-G-H-20,Florida,FL,FL20,20,1220,Likely Dem,DEM,False,False,
2026G-FL-G-H-21,Florida,FL,FL21,21,1221,Likely Rep,REP,False,False,
2026G-FL-G-H-22,Florida,FL,FL22,22,1222,Lean Rep,DEM,True,True,
2026G-FL-G-H-23,Florida,FL,FL23,23,1223,Likely Dem,DEM,False,False,
2026G-FL-G-H-24,Florida,FL,FL24,24,1224,Likely Dem,DEM,False,False,
2026G-FL-G-H-25,Florida,FL,FL25,25,1225,Toss Up,DEM,True,True,
2026G-FL-G-H-26,Florida,FL,FL26,26,1226,Likely Rep,REP,False,False,
2026G-FL-G-H-27,Florida,FL,FL27,27,1227,Likely Rep,REP,False,False,
2026G-FL-G-H-28,Florida,FL,FL28,28,1228,Likely Rep,REP,False,False,
