key,state,state_code,state_district,district,geo_id,rating,incumbent_party,is_battleground,is_key_race,other_candidates
2026G-NC-G-H-1,North Carolina,NC,NC01,01,3701,Lean Rep,DEM,True,True,
2026G-NC-G-H-2,North Carolina,NC,NC02,02,3702,Likely Dem,DEM,False,False,
2026G-NC-G-H-3,North Carolina,NC,NC03,03,3703,Likely Rep,REP,False,False,
2026G-NC-G-H-4,North Carolina,NC,NC04,04,3704,Likely Dem,DEM,False,False,
2026G-NC-G-H-5,North Carolina,NC,NC05,05,3705,Likely Rep,REP,False,False,
2026G-NC-G-H-6,North Carolina,NC,NC06,06,3706,Likely Rep,REP,False,False,
2026G-NC-G-H-7,North Carolina,NC,NC07,07,3707,Likely Rep,REP,False,False,
2026G-NC-G-H-8,North Carolina,NC,NC08,08,3708,Likely Rep,REP,False,False,
2026G-NC-G-H-9,North Carolina,NC,NC09,09,3709,Likely Rep,REP,False,False,
2026G-NC-G-H-10,North Carolina,NC,NC10,10,3710,Likely Rep,REP,False,False,
2026G-NC-G-H-11,North Carolina,NC,NC11,11,3711,Lean Rep,REP,True,True,
2026G-NC-G-H-12,North Carolina,NC,NC12,12,3712,Likely Dem,DEM,False,False,
2026G-NC-G-H-13,North Carolina,NC,NC13,13,3713,Likely Rep,REP,False,False,
2026G-NC-G-H-14,North Carolina,NC,NC14,14,3714,Likely Rep,REP,False,False,
