key,state,state_code,state_district,district,geo_id,rating,incumbent_party,is_battleground,is_key_race,other_candidates
2026G-OH-G-H-1,Ohio,OH,OH01,01,3901,Lean Dem,DEM,True,True,
2026G-OH-G-H-2,Ohio,OH,OH02,02,3902,Likely Rep,REP,False,False,
2026G-OH-G-H-3,Ohio,OH,OH03,03,3903,Likely Dem,DEM,False,False,
2026G-OH-G-H-4,Ohio,OH,OH04,04,3904,Likely Rep,REP,False,False,
2026G-OH-G-H-5,Ohio,OH,OH05,05,3905,Likely Rep,REP,False,False,
2026G-OH-G-H-6,Ohio,OH,OH06,06,3906,Likely Rep,REP,False,False,
2026G-OH-G-H-7,Ohio,OH,OH07,07,3907,Likely Rep,REP,False,False,
2026G-OH-G-H-8,Ohio,OH,OH08,08,3908,Likely Rep,REP,False,False,
2026G-OH-G-H-9,Ohio,OH,OH09,09,3909,Toss Up,DEM,True,True,
2026G-OH-G-H-10,Ohio,OH,OH10,10,3910,Likely Rep,REP,False,False,
2026G-OH-G-H-11,Ohio,OH,OH11,11,3911,Likely Dem,DEM,False,False,
2026G-OH-G-H-12,Ohio,OH,OH12,12,3912,Likely Rep,REP,False,False,
2026G-OH-G-H-13,Ohio,OH,OH13,13,3913,Likely Dem,DEM,False,False,
2026G-OH-G-H-14,Ohio,OH,OH14,14,3914,Likely Rep,REP,False,False,
2026G-OH-G-H-15,Ohio,OH,OH15,15,3915,Likely Rep,REP,False,False,
