key,state,state_code,state_district,district,geo_id,rating,incumbent_party,is_battleground,is_key_race,other_candidates
2026G-PA-G-H-1,Pennsylvania,PA,PA01,01,4201,Lean Rep,REP,True,True,
2026G-PA-G-H-2,Pennsylvania,PA,PA02,02,4202,Likely Dem,DEM,False,False,
2026G-PA-G-H-3,Pennsylvania,PA,PA03,03,4203,Likely Dem,DEM,False,False,
2026G-PA-G-H-4,Pennsylvania,PA,PA04,04,4204,Likely Dem,DEM,False,False,
2026G-PA-G-H-5,Pennsylvania,PA,PA05,05,4205,Likely Dem,DEM,False,False,
2026G-PA-G-H-6,Pennsylvania,PA,PA06,06,4206,Likely Dem,DEM,False,False,
2026G-PA-G-H-7,Pennsylvania,PA,PA07,07,4207,Toss Up,REP,True,True,
2026G-PA-G-H-8,Pennsylvania,PA,PA08,08,4208,Toss Up,REP,True,True,
2026G-PA-G-H-9,Pennsylvania,PA,PA09,09,4209,Likely Rep,REP,False,False,
2026G-PA-G-H-10,Pennsylvania,PA,PA10,10,4210,Toss Up,REP,True,True,
2026G-PA-G-H-11,Pennsylvania,PA,PA11,11,4211,Likely Rep,REP,False,False,
2026G-PA-G-H-12,Pennsylvania,PA,PA12,12,4212,Likely Dem,DEM,False,False,
2026G-PA-G-H-13,Pennsylvania,PA,PA13,13,4213,Likely Rep,REP,False,False,
2026G-PA-G-H-14,Pennsylvania,PA,PA14,14,4214,Likely Rep,REP,False,False,
2026G-PA-G-H-15,Pennsylvania,PA,PA15,15,4215,Likely Rep,REP,False,False,
2026G-PA-G-H-16,Pennsylvania,PA,PA16,16,4216,Likely Rep,REP,False,False,
2026G-PA-G-H-17,Pennsylvania,PA,PA17,17,4217,Likely Dem,DEM,False,False,
